Timesteps,EpisodeReward,PolicyLoss,ValueLoss,EntropyLoss,KL_Divergence
25312,-0.63,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
25420,-0.68,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
25464,-0.155,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
25584,-0.765,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
25708,-0.6875,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
25712,-0.01,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
25808,-0.8425,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
25920,-0.62,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
26104,-0.6325,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
26280,-0.555,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
26444,-0.535,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
26532,-0.85,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
26656,-0.6775,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
26704,-0.095,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
26796,-0.49,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
26976,-0.7825,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
27096,-0.315,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
27200,-0.7575,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
27360,-0.3975,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
27488,-0.815,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
27588,-0.1625,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
27604,-0.0425,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
27704,-0.8175,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
27868,-0.7525,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
27964,-0.68,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
28100,-0.7625,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
28184,-0.3775,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
28292,-0.6875,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
28392,-0.5175,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
28512,-0.79,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
28624,-0.605,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
28708,-0.65,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
28808,-0.33,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
28904,-0.6675,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
29076,-0.615,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
29088,-0.0425,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
29224,-0.6675,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
29328,-0.5425,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
29336,-0.0225,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
29604,-0.7125,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
29776,-0.525,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
29976,-0.4925,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
30076,-0.5475,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
30196,-0.5825,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
30368,-0.735,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
30564,-0.7275,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
30648,-0.6175,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
30800,-0.84,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
30952,-0.7975,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
31184,-0.6375,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
31288,-0.79,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
31432,-0.8325,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
31604,-0.6275,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
31708,-0.7525,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
31800,-0.855,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
31908,-0.7175,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
32024,-0.5925,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
32120,-0.6525,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
32228,-0.5525,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
32324,-0.49,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
32408,-0.6225,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
32484,-0.2625,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
32584,-0.8775,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
32704,-0.825,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
32768,-0.14,0.0,0.004163485959361423,-3.6993009662255645,0.11648524552583694
32864,-0.67,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
32972,-0.4675,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
33000,-0.065,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
33204,-0.46,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
33208,-0.005,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
33296,-0.68,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
33444,-0.5625,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
33564,-0.615,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
33664,-0.7425,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
33784,-0.7125,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
33880,-0.725,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
33988,-0.7225,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
34116,-0.7875,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
34244,-0.645,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
34424,-0.8075,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
34524,-0.72,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
34620,-0.4275,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
34624,-0.01,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
34632,-0.0225,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
34764,-0.775,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
34904,-0.545,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
35052,-0.5375,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
35216,-0.2575,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
35244,-0.045,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
35332,-0.725,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
35484,-0.5375,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
35696,-0.47,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
35868,-0.755,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
36032,-0.82,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
36080,-0.1325,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
36176,-0.7125,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
36188,-0.0225,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
36296,-0.6675,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
36436,-0.5775,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
36576,-0.655,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
36652,-0.46,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
36800,-0.7975,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
36904,-0.66,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
37004,-0.7575,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
37124,-0.5875,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
37256,-0.845,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
37364,-0.4175,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
37480,-0.7125,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
37588,-0.705,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
37708,-0.75,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
37804,-0.685,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
37924,-0.7725,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
37968,-0.0725,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
38196,-0.75,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
38236,-0.0875,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
38240,-0.01,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
38348,-0.8475,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
38476,-0.645,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
38668,-0.6975,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
38768,-0.7075,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
38860,-0.53,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
38940,-0.5675,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
39040,-0.5775,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
39168,-0.7175,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
39256,-0.3275,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
39340,-0.5575,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
39460,-0.535,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
39688,-0.7675,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
39784,-0.6875,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
39872,-0.7725,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
39980,-0.275,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
40128,-0.2875,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
40260,-0.6675,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
40340,-0.295,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
40532,-0.52,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
40600,-0.31,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
40728,-0.77,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
40816,-0.6875,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
40920,-0.7575,0.0,0.0043056092786173394,-3.4579923348501325,0.14756332337856293
41024,-0.6575,0.0,0.004236102914273942,-3.5724693179130553,0.17118173837661743
41124,-0.75,0.0,0.004236102914273942,-3.5724693179130553,0.17118173837661743
41240,-0.6475,0.0,0.004236102914273942,-3.5724693179130553,0.17118173837661743
41348,-0.6075,0.0,0.004236102914273942,-3.5724693179130553,0.17118173837661743
41464,-0.7625,0.0,0.004236102914273942,-3.5724693179130553,0.17118173837661743
41584,-0.6,0.0,0.004236102914273942,-3.5724693179130553,0.17118173837661743
41776,-0.735,0.0,0.004236102914273942,-3.5724693179130553,0.17118173837661743
41872,-0.6025,0.0,0.004236102914273942,-3.5724693179130553,0.17118173837661743
41968,-0.5775,0.0,0.004236102914273942,-3.5724693179130553,0.17118173837661743
42080,-0.6775,0.0,0.004236102914273942,-3.5724693179130553,0.17118173837661743
